,DECLARANT,PARTNER,TCI_2001,TCI_2002,TCI_2003,TCI_2004,TCI_2005,TCI_2006,TCI_2007,TCI_2008,TCI_2009,TCI_2010,TCI_2011,TCI_2012,TCI_2013,TCI_2014,TCI_2015,TCI_2016,TCI_2017
<<<<<<< HEAD
0,AT,AD,2.4971128055895213,2.4100167979645315,2.6941664590153156,2.801765433849842,2.7163920065446163,2.479953864288116,2.7445667725987253,3.1975116370475365,2.806744688308493,2.786844096855229,2.557533035684345,2.6272016493508743,2.3117608853752984,2.6086619719844237,2.786110162012288,2.8089897070736303,2.705075269430186
1,AT,AE,1.804116825489498,1.3973826277887076,1.9903069311703712,1.3133338360852618,1.5984992960262163,1.3008364488858597,1.4243641590316989,1.3548040390493727,1.3170987822486941,1.3963432622431788,1.238656062150701,1.3206788529846785,1.4144285178090548,1.4083939319213956,1.2290511516560354,1.3953764327234237,1.3533791762937155
2,AT,AF,4.405250799584435,3.020190646375833,3.712066021872,1.3692638569528899,2.0424187810784824,2.2124886092055562,2.6827089396768127,3.2309426141103184,2.0415380429108767,1.8965109580917885,1.593495031107428,1.7285340748840798,1.979500671462871,1.8055115335234089,1.7817938701946845,2.158381846916728,2.139284715141049
3,AT,AG,2.9337306460350385,5.763708061507763,4.553893126342191,4.1876733533722446,4.215007299939475,4.207845121699956,5.942219552146912,6.047234535960567,6.699699723586653,5.757806982457375,5.81735911884423,5.627617648867079,4.519738664527272,4.635876401997619,5.571147736937889,5.294237017746937,3.913017391405081
4,AT,AI,3.842905563234519,4.400319211861105,3.261590469011159,4.277291241828168,4.164346556162558,3.6240273945446377,3.103695555795778,4.1896625762446655,5.724069550730951,3.0203538679828505,4.027466102724827,5.888595680241772,4.908250573919187,5.701034816071731,3.5875193799404306,4.353188552069954,6.0444367656314855
5,AT,AL,1.9469394821470307,1.5553843223939705,1.4925971603630104,1.5215462937424904,1.5292408152022678,1.5180375652902227,1.7328341625855437,1.7177698364218712,1.6619338200146487,1.4158421118422369,1.5624092023178708,1.8502414882553924,1.6931002943714604,1.8227321020224043,1.6870271564968318,1.7907817532508556,2.0100181199976443
6,AT,AM,2.473983333065659,2.5452277587786303,2.4137212534232115,2.058594902853955,2.4033992233660735,1.9566692655409523,1.6123825253919284,1.4419685071448298,1.7789095005389208,1.5508179593734783,1.9074169722775856,1.8505143896521319,1.4654813302315493,1.7821427458154977,1.5423373709498391,2.162059009224883,1.983205585738548
7,AT,AN,2.823634044044652,2.7118711756880485,3.0161714917553724,2.954818745309156,3.2236434747126093,3.4015308622158944,3.2615159113265113,3.943897751054985,3.661125275932249,3.289081669410705,2.5854338878633527,3.8406971907910528,,,,,
8,AT,AO,3.213311581526712,2.5382139802358483,2.928287475088128,2.8305718273305738,2.9687462435178884,3.3041151471507484,2.7704763971847908,2.680687573800121,3.2495595467236207,2.9013647245516747,2.9086744600323424,3.0771661407941795,2.5045127530569173,2.1986839454433884,3.60178787060543,3.4891229974709903,2.966417242543117
9,AT,AQ,,4.827549221141464,,,,,,,,,,,,,,,
10,AT,AR,1.8374965296110681,2.0134623626684838,1.8188460331395755,1.9586885070238127,1.5597146135252116,1.6615612732464409,1.64069017138118,1.6560513378721529,1.5683561692576642,1.6249148201988697,1.694551034220922,1.9424661190510029,1.9783978572917533,1.513410069548794,1.5324683863624018,1.3177724870643464,1.27053117095317
11,AT,AS,,8.69757072560872,,,4.6994579420875136,1.5567061642823214,,,6.4602572600927815,4.566953688427804,5.301033152361089,4.665429802927497,4.7652870982732525,,,6.564054123354554,3.5024964799350653
12,AT,AU,1.4441070344141165,1.4616698645960542,1.4344411301722595,1.3519875127682144,1.3172845697395552,1.2364274425031871,1.193731548151456,1.1598713818793407,1.1555492281700437,1.0863837066558817,1.099598015467532,1.1029218432605716,1.1817952081403904,1.1692324845024182,1.2255542853130177,1.4016965003321895,1.3534551353828546
13,AT,AW,4.8643158394694535,5.003057627105225,4.487496305069897,4.408128537689084,3.848892913191696,4.8398277870723865,5.517654880140118,4.647820286514394,5.0415668307436015,5.243893909832654,5.470724176611341,4.464919471332636,5.271313051702982,3.6588014285594936,3.429329426829596,3.920157366104392,4.1340821422915175
14,AT,AZ,1.5747244412378978,1.821094065539262,1.4803314140033608,1.5003748577540583,1.933794351451608,1.7408220801134382,1.3631736346401322,1.4983700768393984,1.4108960414764518,1.7208303020751083,1.3828757466059605,1.3268206301968188,1.2230304661987283,1.130368951268648,1.0516329041321708,1.444742131531004,1.5558391004170429
15,AT,BA,0.92362541674734,0.8962219425041984,0.8787171045434785,0.8978391464132195,0.8964592681507049,0.7925387919848847,0.6425010031806021,0.6271426964745854,0.7076194892252115,0.7068514613196459,0.7474967829757515,0.7727421286266115,0.7566895935398665,0.7068898655923337,0.6992197329094408,0.7336404121959581,0.8111180046709734
16,AT,BB,2.4812259877264147,2.938530875317222,3.742315918466202,3.0726501066858543,2.921050529029187,3.2577407679577264,3.2133137427687317,2.8749530384154656,2.8729544144616828,3.2835538338956827,2.5841783539997336,3.0006105818170576,2.9866112234997138,3.337923677245418,2.77818949684664,2.7890665639820447,3.1938184410667168
17,AT,BD,2.7237299403435773,2.7350358695446504,2.2447655390578385,2.3154011783548563,2.204892514059676,2.8806437971170515,2.72505336598006,1.9784894339588317,2.1885082247974954,1.7766190448601396,1.6786692376425612,2.0568072060441835,1.7870187545433824,1.7898285365150723,2.113407847438505,1.8636017570775882,2.17885688065506
