,DECLARANT,PARTNER,TCI_2001,TCI_2002,TCI_2003,TCI_2004,TCI_2005,TCI_2006,TCI_2007,TCI_2008,TCI_2009,TCI_2010,TCI_2011,TCI_2012,TCI_2013,TCI_2014,TCI_2015,TCI_2016,TCI_2017
0,AT,AD,15.674555094214682,4.245606551588452,8.208722566851536,6.5679236669643695,3.657371341818647,2.5206521591394746,3.2408600056928485,4.583613263862758,4.4532173184514345,8.655871519758247,5.217393987058998,3.948503571828752,4.98107787261138,6.846087545136155,7.323525078169231,2.8905635183837317,4.891508724810825
1,AT,AE,4.573839270800786,3.7654386137726634,4.434469012398634,3.998614952202336,1.3818791018182817,2.3176570347715604,3.5424845215226304,3.260925343247516,4.140999461175055,3.977454232285299,3.7805645939378514,4.849326989161627,5.176925071658051,4.7433384662624665,4.594803344593236,3.5873241363571533,4.041781921978068
2,AT,AF,11.16556836581231,2.070154947413174,2.674687283954696,6.417425685142428,8.8537477709729,2.508837697417267,6.906069973699063,7.525811525364874,7.2402717695377445,6.1834487735668064,9.775549032223948,4.374996009140835,5.676873354364811,8.59174958710824,3.947286142681088,9.33815394228276,2.868357654524643
3,AT,AG,15.259950910436766,16.04570684159346,16.562735424510667,16.079851578096598,16.931136530959257,15.672300255148096,5.840022559260326,15.441572644137334,15.433577428269055,15.033791855343734,14.259668124246044,5.164294318916241,,10.215834307180057,13.187729612278956,13.711684719145019,9.282376485511817
4,AT,AI,15.73967743706589,12.187344642032961,14.801882075079675,14.688372466359784,,9.724471166973883,8.122563839342453,5.405504825627959,10.792723460575829,12.953916814258886,16.056147863796486,14.410043421856251,,14.910824185646053,10.880979662536642,5.6504950809170245,11.377800911652885
5,AT,AL,6.686497382709076,7.581371435319338,8.275158884125364,8.649547971003393,8.737386724626797,6.586518048903796,7.308704278889077,6.307347467995005,7.345785661430652,5.327988315513243,5.690568139271507,5.008354641014456,4.067216020299878,4.85132439046074,4.511229167110665,3.4291913995971584,4.035204890320801
6,AT,AM,3.867962599903258,4.273882795724263,2.8307850453294456,8.710557383058568,7.365425488760352,4.215367325001622,1.9905082150348443,3.3956909204068184,7.189776687444367,11.633357837426756,12.035487696841033,5.226507116061001,5.994613065908277,4.394240554660573,2.2812504899769825,2.942597463752968,2.278882732911506
7,AT,AN,9.684660628494585,13.764791831450706,12.734995487525904,8.712087515700325,7.0292995871711135,11.410519692335678,12.871565908771384,14.636760530508425,13.055458439658251,11.913162924415673,14.690726750351525,13.45612445452419,,,,,
8,AT,AO,19.244025595021547,0.3078973120420813,8.050392196549035,11.259205034539848,8.5921903463306,14.07138530560792,9.051935208962268,17.87088724289451,7.675682763996877,16.393029723984046,11.205327248821463,12.675454420594313,12.724234346952267,13.061945886918553,0.09589332876970767,0.16227740648630784,13.215609073233207
9,AT,AQ,,,10.510331637435565,11.693402112089972,,,,,,,,14.880673330238672,,,,,
10,AT,AR,4.3074999027013305,6.098628386688024,4.576874259990468,6.021933754815652,5.7053730582404025,5.716412841474602,4.4584404975547764,5.307648781372375,7.2629349124308575,7.5518131652594365,6.598749182549133,7.387552669448754,5.31052225916841,5.570790112501617,6.0106606080161775,5.709811120575816,5.744340688225359
11,AT,AS,,,,,11.9161310778962,,17.129667929442338,,10.605412006787123,15.485191680744308,14.352023369623694,,,,10.50277791761625,12.437794884593403,11.300624622495981
12,AT,AU,3.714059267831389,3.5532073270433577,3.503312332996696,3.232125719207972,3.329463760837952,3.2658649617265265,3.463994362435668,4.014063102681513,4.1805004512962665,3.5788526315994433,3.5093426402261088,4.073193401636656,3.17251579646576,1.8898242331316548,2.8236254948467674,2.3498174287977003,1.475933680989004
13,AT,AW,18.51549688202152,17.913921496486786,10.192319783608726,17.58752639155652,11.254504413454699,20.893087583098715,18.2398974492112,21.6022693661829,2.5937424343096045,13.70912347702218,11.823608093464479,,11.979474223537819,14.143027967222187,10.621190129668818,7.822447717762394,12.03639185066525
14,AT,AZ,0.18520898618576767,0.2473936432912791,0.1762269887826272,0.5239576107811444,0.117076889545238,0.1992485620806893,0.19001467775037187,12.906541708822722,0.4355518121563301,0.025307541111403292,0.13112242559070408,0.1121548723145087,0.02781299408062736,0.042152528873748686,0.05079065311619559,0.04268207377331721,0.022883568411645017
15,AT,BA,2.8789733041871166,3.230865413701944,2.901768024829772,2.1299449915564286,2.513229610795181,2.5885435590922663,2.435447995558844,2.068238637930382,1.9517735676538115,2.063539787787714,2.0521447010908505,2.039580981483778,2.1299638393443683,2.0220541697421366,2.2759781855471384,2.243776107173048,2.2556284271888534
16,AT,BB,7.3288491416834365,5.528740859873547,9.27208018972425,13.728482428474026,17.186823687320167,8.455045445497385,8.690394690343874,11.622505607761571,6.3106077382633785,10.473235999332266,9.029217747238713,6.497071623183088,5.904893120387549,10.762817516858163,0.8530740404422184,13.757168445890148,10.235159332753934
17,AT,BD,0.478828557795822,0.43645808562669147,0.393479858790448,0.4868247993189194,0.4959426349888716,0.6331648599715975,0.6598938306045162,0.8951559445241809,2.2987430309899404,1.9016345970572408,0.6389988587055427,0.4356423680167276,0.3975620265267062,0.3836004419760034,0.35756498553811106,0.3254077367051084,0.33322778479139104
18,AT,BE,0.8879139771884026,0.9440038350655072,0.8773327967934053,1.0413498573986772,1.2415951300581114,1.0709397684138011,1.0333475596559476,1.0390996093465894,0.9335642367814324,0.9184061321705628,0.9103808833965544,1.0432790624643618,0.9881191172243414,1.0063753033379568,0.93417808137876,0.7841413227489061,0.7591567058052634
19,AT,BF,6.196062808547077,6.775099587743572,6.190929385930411,8.445705169886669,10.285314299037736,4.849136508422348,5.910317859052621,4.0330125708504125,4.3412744232768885,7.8505665990589595,5.314373675990928,5.974577952719507,13.020323407429247,6.9756128991004855,7.945015314108403,4.815334166567085,8.299188759568827
20,AT,BG,2.6746743114217644,2.7700660099608903,2.86816036663993,2.701245744845264,2.704041315133276,2.450930165242811,2.774626471592444,2.7548815130436815,3.3936508309925144,2.8570733615332378,3.1675249841445314,3.57941788706311,3.213457538064798,3.3397359848164863,3.334020904385308,3.17789305464442,2.9266470893181267
21,AT,BH,5.631076742532964,5.175531115166464,5.187879849839039,4.802728563375158,5.683503880025525,6.467994984115569,6.236720212358117,5.785118269620301,6.671162186985817,6.653106237146165,7.923068253162763,7.9935763531289625,8.480136607825179,5.520600822727108,6.653985470757518,4.461158129248542,4.493967101960012
22,AT,BI,0.23586761464820705,2.9790544080934804,0.2079241549284785,5.404731364953285,0.033934722239689144,11.11334679052423,0.031166578468759237,0.4262864420795781,9.422283078486297,14.235507600651227,10.229591361131547,8.896764281841245,10.80016407034407,19.96751515078709,18.766179362415926,11.688516538221318,10.75902826007838
